path	bytes	lines	extension	test_code
src/http3/stream_util.rs	8262	194	.rs	0
src/http3/websocket.rs	83725	2014	.rs	0
src/identity/attestation/k8s_psat.rs	8059	215	.rs	0
src/identity/attestation/mod.rs	4321	111	.rs	0
src/identity/attestation/spiffe_jwt_svid.rs	4404	124	.rs	0
src/identity/attestation/static_id.rs	2110	67	.rs	0
src/identity/attestation/unix.rs	6540	182	.rs	0
src/identity/ca/bootstrap.rs	5809	178	.rs	0
src/identity/ca/internal.rs	21051	499	.rs	0
src/identity/ca/mod.rs	6908	184	.rs	0
src/identity/ca/spire.rs	21108	547	.rs	0
src/identity/ca/upstream.rs	4927	142	.rs	0
src/identity/file_loader.rs	8498	227	.rs	0
src/identity/mod.rs	8017	206	.rs	0
src/identity/rotation.rs	9275	249	.rs	0
src/identity/spiffe/id.rs	11449	306	.rs	0
src/identity/spiffe/mod.rs	708	19	.rs	0
src/identity/spiffe/trust_domain.rs	4429	134	.rs	0
src/identity/spiffe/uri_san.rs	8487	210	.rs	0
src/identity/workload_api/client.rs	23911	598	.rs	0
src/identity/workload_api/fetch_loop.rs	11738	305	.rs	0
src/identity/workload_api/mod.rs	1096	26	.rs	0
src/identity/workload_api/proto.rs	528	15	.rs	0
src/identity/workload_api/server.rs	22842	612	.rs	0
src/k8s_controller/convert.rs	8171	250	.rs	0
src/k8s_controller/istio_status.rs	138846	3406	.rs	0
src/k8s_controller/metrics.rs	1297	46	.rs	0
src/k8s_controller/mod.rs	10085	249	.rs	0
src/k8s_controller/reconciler.rs	68619	1826	.rs	0
src/k8s_controller/resource_store.rs	10213	339	.rs	0
src/k8s_controller/status.rs	180103	4995	.rs	0
src/k8s_controller/watcher.rs	36000	1065	.rs	0
src/lazy_timeout.rs	2929	85	.rs	0
src/lib.rs	143242	3762	.rs	0
src/load_balancer.rs	248050	6273	.rs	0
src/logging/mod.rs	10173	246	.rs	0
src/logging/non_blocking.rs	28191	796	.rs	0
src/logging/runtime_overlay.rs	3997	107	.rs	0
src/main.rs	40120	933	.rs	0
src/metrics.rs	3840	97	.rs	0
src/modes/control_plane.rs	146819	3234	.rs	0
src/modes/data_plane.rs	44150	1007	.rs	0
src/modes/database.rs	173492	3797	.rs	0
src/modes/db_poll_supervision.rs	8386	229	.rs	0
src/modes/db_tls_reload.rs	6130	187	.rs	0
src/modes/file.rs	84922	1902	.rs	0
src/modes/grpc_tls_reload.rs	9165	291	.rs	0
src/modes/injector.rs	143097	3639	.rs	0
src/modes/mesh/config.rs	185678	4216	.rs	0
src/modes/mesh/config_consumer/common.rs	4976	151	.rs	0
src/modes/mesh/config_consumer/file_source.rs	8141	207	.rs	0
src/modes/mesh/config_consumer/mod.rs	164	9	.rs	0
src/modes/mesh/config_consumer/native_client.rs	18570	500	.rs	0
src/modes/mesh/config_consumer/update_validation.rs	15112	362	.rs	0
src/modes/mesh/config_consumer/xds_client.rs	202969	5119	.rs	0
src/modes/mesh/dns_proxy.rs	136979	3688	.rs	0
src/modes/mesh/federation.rs	105272	2595	.rs	0
src/modes/mesh/hbone.rs	61792	1678	.rs	0
src/modes/mesh/mod.rs	1297002	29454	.rs	0
src/modes/mesh/multicluster.rs	207572	4829	.rs	0
src/modes/mesh/node_waypoint.rs	128563	2886	.rs	0
src/modes/mesh/outbound_enforcement.rs	22440	572	.rs	0
src/modes/mesh/policy.rs	142589	4107	.rs	0
src/modes/mesh/policy_deny_log.rs	22983	594	.rs	0
src/modes/mesh/runtime.rs	21828	567	.rs	0
src/modes/mesh/runtime_overlay_consumers.rs	2232	49	.rs	0
src/modes/mesh/slice.rs	338214	8463	.rs	0
src/modes/migrate.rs	14719	399	.rs	0
src/modes/mod.rs	30959	764	.rs	0
src/modes/node_agent.rs	554811	13463	.rs	0
src/modes/node_agent_cni_server.rs	47684	1218	.rs	0
src/modes/tls_reload.rs	21179	572	.rs	0
src/modes/tls_source_util.rs	706	24	.rs	0
src/notifications/channels/discord.rs	2865	98	.rs	0
src/notifications/channels/mod.rs	14859	413	.rs	0
src/notifications/channels/slack.rs	3563	112	.rs	0
src/notifications/channels/teams.rs	2384	85	.rs	0
src/notifications/channels/webhook.rs	9113	268	.rs	0
src/notifications/dispatch.rs	2631	69	.rs	0
src/notifications/mod.rs	1460	32	.rs	0
src/notifications/notification.rs	7582	247	.rs	0
src/notifications/templating.rs	5806	163	.rs	0
src/observability_delivery.rs	40606	1128	.rs	0
src/overload.rs	66025	1546	.rs	0
src/plugin_cache.rs	227339	5591	.rs	0
src/plugins/a2a_gateway.rs	66423	1935	.rs	0
src/plugins/access_control.rs	15721	367	.rs	0
src/plugins/adaptive_concurrency.rs	9469	283	.rs	0
src/plugins/ai_federation.rs	241702	6312	.rs	0
src/plugins/ai_prompt_compressor.rs	79252	2112	.rs	0
src/plugins/ai_prompt_shield.rs	94415	2188	.rs	0
src/plugins/ai_rate_limiter.rs	91389	1920	.rs	0
src/plugins/ai_request_guard.rs	91744	2096	.rs	0
src/plugins/ai_response_guard.rs	106097	2592	.rs	0
src/plugins/ai_semantic_cache.rs	225489	5649	.rs	0
src/plugins/ai_semantic_firewall.rs	227277	6020	.rs	0
